status,season_x,week,week_day,event_date_x,tm_nano_x,tm_market_x,tm_name_x,tm_alias_x,tm_alt_market,tm_alt_alias,opp_nano_x,opp_market_x,opp_name_x,opp_alias_x,opp_alt_market,opp_alt_alias,tm_location,opp_location,tm_score,opp_score,boxscore_stats_link,season_y,event_date_y,nano,market,name,alias,rush_att,rush_yds,rush_tds,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_tds,pass_int,passer_rating,net_pass_yds,total_yds,times_sacked,yds_sacked_for,fumbles,fumbles_lost,turnovers,penalties,penalty_yds,first_downs,third_down_conv,third_down_att,third_down_conv_pct,fourth_down_conv,fourth_down_att,fourth_down_conv_pct,time_of_possession,season,event_date,tm_nano_y,tm_market_y,tm_name_y,tm_alias_y,opp_nano_y,opp_market_y,opp_name_y,opp_alias_y,tm_spread,opp_spread,total,attendance,duration,roof_type,surface_type,won_toss,won_toss_decision,won_toss_overtime,won_toss_overtime_decision,temperature,humidity_pct,wind_speed,season_year
closed,2016,1,Thu,2016-09-08,6DclFuycdPaOB,Denver,Broncos,DEN,denver-broncos,den,jJBGuksuDJF5L,Carolina,Panthers,CAR,carolina-panthers,car,H,A,21,20,https://www.pro-football-reference.com/boxscores/201609080den.htm,2016,2016-09-08,jJBGuksuDJF5L,Carolina,Panthers,CAR,32,157,1,18,33,0.545,194,1,1,69.508,176,333,3,18,0,0,1,8,85,21,9,15,0.6,0,0,0.0,1939,2016,2016-09-08,6DclFuycdPaOB,Denver,Broncos,DEN,jJBGuksuDJF5L,Carolina,Panthers,CAR,3.0,-3.0,,76843,192,Outdoors,Grass ,CAR,Deferred,,,85.0,12.0,10.0,2016
closed,2016,1,Thu,2016-09-08,6DclFuycdPaOB,Denver,Broncos,DEN,denver-broncos,den,jJBGuksuDJF5L,Carolina,Panthers,CAR,carolina-panthers,car,H,A,21,20,https://www.pro-football-reference.com/boxscores/201609080den.htm,2016,2016-09-08,6DclFuycdPaOB,Denver,Broncos,DEN,29,148,2,18,26,0.692,178,1,2,69.071,159,307,2,19,1,1,3,4,22,21,5,10,0.5,1,1,1.0,1661,2016,2016-09-08,6DclFuycdPaOB,Denver,Broncos,DEN,jJBGuksuDJF5L,Carolina,Panthers,CAR,3.0,-3.0,,76843,192,Outdoors,Grass ,CAR,Deferred,,,85.0,12.0,10.0,2016
closed,2016,1,Sun,2016-09-11,zyhFXj1nywrm1,Baltimore,Ravens,BAL,baltimore-ravens,rav,3VqeLK0LS9rpw,Buffalo,Bills,BUF,buffalo-bills,buf,H,A,13,7,https://www.pro-football-reference.com/boxscores/201609110rav.htm,2016,2016-09-11,3VqeLK0LS9rpw,Buffalo,Bills,BUF,24,65,1,15,22,0.682,111,0,0,79.924,95,160,2,16,0,0,0,8,89,11,3,13,0.231,2,2,1.0,1627,2016,2016-09-11,zyhFXj1nywrm1,Baltimore,Ravens,BAL,3VqeLK0LS9rpw,Buffalo,Bills,BUF,-3.0,3.0,,71104,174,Outdoors,Grass,BUF,Deferred,,,84.0,44.0,8.0,2016
closed,2016,1,Sun,2016-09-11,zyhFXj1nywrm1,Baltimore,Ravens,BAL,baltimore-ravens,rav,3VqeLK0LS9rpw,Buffalo,Bills,BUF,buffalo-bills,buf,H,A,13,7,https://www.pro-football-reference.com/boxscores/201609110rav.htm,2016,2016-09-11,zyhFXj1nywrm1,Baltimore,Ravens,BAL,28,83,0,22,33,0.667,258,1,0,100.316,225,308,4,33,1,1,1,6,35,18,6,15,0.4,0,1,0.0,1973,2016,2016-09-11,zyhFXj1nywrm1,Baltimore,Ravens,BAL,3VqeLK0LS9rpw,Buffalo,Bills,BUF,-3.0,3.0,,71104,174,Outdoors,Grass,BUF,Deferred,,,84.0,44.0,8.0,2016
closed,2016,1,Sun,2016-09-11,D5QY6bOxfn8ZL,Green Bay,Packers,GB,green-bay-packers,gnb,RtOjnciWkJPaL,Jacksonville,Jaguars,JAC,jacksonville-jaguars,jax,A,H,27,23,https://www.pro-football-reference.com/boxscores/201609110jax.htm,2016,2016-09-11,D5QY6bOxfn8ZL,Green Bay,Packers,GB,25,95,1,20,34,0.588,199,2,0,95.098,199,294,1,0,1,0,0,5,24,18,7,14,0.5,1,1,1.0,1717,2016,2016-09-11,RtOjnciWkJPaL,Jacksonville,Jaguars,JAC,D5QY6bOxfn8ZL,Green Bay,Packers,GB,3.5,-3.5,,63179,190,Outdoors,Grass ,GB,Deferred,,,90.0,55.0,3.0,2016
closed,2016,1,Sun,2016-09-11,D5QY6bOxfn8ZL,Green Bay,Packers,GB,green-bay-packers,gnb,RtOjnciWkJPaL,Jacksonville,Jaguars,JAC,jacksonville-jaguars,jax,A,H,27,23,https://www.pro-football-reference.com/boxscores/201609110jax.htm,2016,2016-09-11,RtOjnciWkJPaL,Jacksonville,Jaguars,JAC,26,48,1,24,39,0.615,320,1,1,85.417,300,348,3,20,1,0,1,9,79,20,4,15,0.267,3,4,0.75,1883,2016,2016-09-11,RtOjnciWkJPaL,Jacksonville,Jaguars,JAC,D5QY6bOxfn8ZL,Green Bay,Packers,GB,3.5,-3.5,,63179,190,Outdoors,Grass ,GB,Deferred,,,90.0,55.0,3.0,2016
closed,2016,1,Sun,2016-09-11,QMAZH1v922YLu,Tampa Bay,Buccaneers,TB,tampa-bay-buccaneers,tam,mLspw4gJNTQGN,Atlanta,Falcons,ATL,atlanta-falcons,atl,A,H,31,24,https://www.pro-football-reference.com/boxscores/201609110atl.htm,2016,2016-09-11,QMAZH1v922YLu,Tampa Bay,Buccaneers,TB,28,90,0,23,32,0.719,281,4,1,125.13,281,371,0,0,0,0,1,6,48,20,3,10,0.3,0,0,0.0,1657,2016,2016-09-11,mLspw4gJNTQGN,Atlanta,Falcons,ATL,QMAZH1v922YLu,Tampa Bay,Buccaneers,TB,-2.5,2.5,,69382,182,Dome,Fieldturf ,TB,Deferred,,,,,,2016
closed,2016,1,Sun,2016-09-11,QMAZH1v922YLu,Tampa Bay,Buccaneers,TB,tampa-bay-buccaneers,tam,mLspw4gJNTQGN,Atlanta,Falcons,ATL,atlanta-falcons,atl,A,H,31,24,https://www.pro-football-reference.com/boxscores/201609110atl.htm,2016,2016-09-11,mLspw4gJNTQGN,Atlanta,Falcons,ATL,22,52,0,27,39,0.692,334,2,0,112.553,322,374,3,12,0,0,0,7,74,19,3,13,0.231,1,2,0.5,1943,2016,2016-09-11,mLspw4gJNTQGN,Atlanta,Falcons,ATL,QMAZH1v922YLu,Tampa Bay,Buccaneers,TB,-2.5,2.5,,69382,182,Dome,Fieldturf ,TB,Deferred,,,,,,2016
closed,2016,1,Sun,2016-09-11,UI0Ax4HUEXFh6,Houston,Texans,HOU,houston-texans,htx,1vVmWGzUZ1rea,Chicago,Bears,CHI,chicago-bears,chi,H,A,23,14,https://www.pro-football-reference.com/boxscores/201609110htx.htm,2016,2016-09-11,1vVmWGzUZ1rea,Chicago,Bears,CHI,20,73,1,16,29,0.552,216,1,1,76.221,185,258,5,31,2,0,1,4,30,14,4,13,0.308,0,2,0.0,1421,2016,2016-09-11,UI0Ax4HUEXFh6,Houston,Texans,HOU,1vVmWGzUZ1rea,Chicago,Bears,CHI,-5.5,5.5,,71933,178,Retractable roof (closed),Fieldturf,CHI,Deferred,,,,,,2016
closed,2016,1,Sun,2016-09-11,UI0Ax4HUEXFh6,Houston,Texans,HOU,houston-texans,htx,1vVmWGzUZ1rea,Chicago,Bears,CHI,chicago-bears,chi,H,A,23,14,https://www.pro-football-reference.com/boxscores/201609110htx.htm,2016,2016-09-11,UI0Ax4HUEXFh6,Houston,Texans,HOU,35,129,0,22,35,0.629,231,2,1,89.107,215,344,2,16,1,0,1,6,69,17,12,20,0.6,0,0,0.0,2179,2016,2016-09-11,UI0Ax4HUEXFh6,Houston,Texans,HOU,1vVmWGzUZ1rea,Chicago,Bears,CHI,-5.5,5.5,,71933,178,Retractable roof (closed),Fieldturf,CHI,Deferred,,,,,,2016
