season,event_date,tm_nano,tm_market,tm_name,tm_alias,opp_nano,opp_market,opp_name,opp_alias,tm_spread,opp_spread,total,attendance,duration,roof_type,surface_type,won_toss,won_toss_decision,won_toss_overtime,won_toss_overtime_decision,temperature,humidity_pct,wind_speed,boxscore_stats_link
2024,2024-09-05,oiGiwWPf0UqMC,Kansas City,Chiefs,KC,zyhFXj1nywrm1,Baltimore,Ravens,BAL,-3.0,3.0,,73611,190,Outdoors,Grass,KC,Deferred,,,67.0,53.0,8.0,https://www.pro-football-reference.com/boxscores/202409050kan.htm
2024,2024-09-06,hjjmgzxilGWdr,Philadelphia,Eagles,PHI,D5QY6bOxfn8ZL,Green Bay,Packers,GB,-2.0,2.0,,47236,209,,,GB,Accepted,,,,,,https://www.pro-football-reference.com/boxscores/202409060phi.htm
2024,2024-09-08,mLspw4gJNTQGN,Atlanta,Falcons,ATL,SlVgURDFI7EXX,Pittsburgh,Steelers,PIT,-3.5,3.5,,72291,176,Retractable roof (closed),Fieldturf,ATL,Accepted,,,,,,https://www.pro-football-reference.com/boxscores/202409080atl.htm
2024,2024-09-08,3VqeLK0LS9rpw,Buffalo,Bills,BUF,GJizlkzQFaqGA,Arizona,Cardinals,ARI,-6.5,6.5,,70542,179,Outdoors,A_turf,ARI,Accepted,,,61.0,55.0,20.0,https://www.pro-football-reference.com/boxscores/202409080buf.htm
2024,2024-09-08,CI5mhfNa0Zqd2,New Orleans,Saints,NO,jJBGuksuDJF5L,Carolina,Panthers,CAR,-4.0,4.0,,70007,190,Dome,Sportturf,CAR,Deferred,,,,,,https://www.pro-football-reference.com/boxscores/202409080nor.htm
2024,2024-09-08,1vVmWGzUZ1rea,Chicago,Bears,CHI,ltMyRE3yvVUaw,Tennessee,Titans,TEN,-3.5,3.5,,59403,180,Outdoors,Grass,CHI,Deferred,,,67.0,43.0,8.0,https://www.pro-football-reference.com/boxscores/202409080chi.htm
2024,2024-09-08,22ZdibiqvfA2D,Cincinnati,Bengals,CIN,VkxV91RtzHn65,New England,Patriots,NE,-7.5,7.5,,66214,169,Outdoors,Fieldturf,NE,Deferred,,,66.0,40.0,5.0,https://www.pro-football-reference.com/boxscores/202409080cin.htm
2024,2024-09-08,LJmHetie5VbbO,Indianapolis,Colts,IND,UI0Ax4HUEXFh6,Houston,Texans,HOU,2.5,-2.5,,65306,182,Retractable roof (open),Fieldturf,IND,Accepted,,,,,,https://www.pro-football-reference.com/boxscores/202409080clt.htm
2024,2024-09-08,mfbu6O5aMHbJg,Miami,Dolphins,MIA,RtOjnciWkJPaL,Jacksonville,Jaguars,JAC,-3.5,3.5,,65582,183,Outdoors,Grass,JAC,Deferred,,,91.0,57.0,10.0,https://www.pro-football-reference.com/boxscores/202409080mia.htm
2024,2024-09-08,n8CuHV9wbYCqF,New York,Giants,NYG,AzOs5UWsXusSW,Minnesota,Vikings,MIN,1.5,-1.5,,81908,172,Outdoors,Fieldturf,MIN,Deferred,,,64.0,48.0,10.0,https://www.pro-football-reference.com/boxscores/202409080nyg.htm
2024,2024-09-08,4M8AK5p0WXs1N,Seattle,Seahawks,SEA,6DclFuycdPaOB,Denver,Broncos,DEN,-6.0,6.0,,68714,195,Outdoors,Fieldturf,DEN,Deferred,,,73.0,72.0,7.0,https://www.pro-football-reference.com/boxscores/202409080sea.htm
2024,2024-09-08,SjaMbkmeizJD4,Los Angeles,Chargers,LAC,LZoDld8s63xUs,Las Vegas,Raiders,LV,-3.0,3.0,,70240,170,Dome,Matrixturf,LV,Deferred,,,,,,https://www.pro-football-reference.com/boxscores/202409080sdg.htm
2024,2024-09-08,IR4gIYmh269EI,Cleveland,Browns,CLE,KdjU81i7YSFE7,Dallas,Cowboys,DAL,-2.5,2.5,,67431,199,Outdoors,Grass,CLE,Deferred,,,68.0,41.0,15.0,https://www.pro-football-reference.com/boxscores/202409080cle.htm
2024,2024-09-08,QMAZH1v922YLu,Tampa Bay,Buccaneers,TB,9JtBk8kFeaGEs,Washington,Football Team,WAS,-3.5,3.5,,63020,182,Outdoors,Grass,TB,Accepted,,,93.0,60.0,6.0,https://www.pro-football-reference.com/boxscores/202409080tam.htm
2024,2024-09-08,FCuH1wdksA2DQ,Detroit,Lions,DET,u98I1lDKQBwZ0,Los Angeles,Rams,LA,-4.5,4.5,,66530,194,Dome,Fieldturf,DET,Deferred,DET,Accepted,,,,https://www.pro-football-reference.com/boxscores/202409080det.htm
2024,2024-09-09,IwSI92ZDKoazn,San Francisco,49ers,SF,mexvMWO2v1hWn,New York,Jets,NYJ,-4.0,4.0,,71319,171,Outdoors,Grass,SF,Deferred,,,76.0,60.0,10.0,https://www.pro-football-reference.com/boxscores/202409090sfo.htm
2024,2024-09-12,mfbu6O5aMHbJg,Miami,Dolphins,MIA,3VqeLK0LS9rpw,Buffalo,Bills,BUF,-2.0,2.0,,65601,175,Outdoors,Grass,BUF,Deferred,,,86.0,79.0,3.0,https://www.pro-football-reference.com/boxscores/202409120mia.htm
2024,2024-09-15,jJBGuksuDJF5L,Carolina,Panthers,CAR,SjaMbkmeizJD4,Los Angeles,Chargers,LAC,5.0,-5.0,,70145,163,Outdoors,Grass,CAR,Deferred,,,78.0,66.0,13.0,https://www.pro-football-reference.com/boxscores/202409150car.htm
2024,2024-09-15,RtOjnciWkJPaL,Jacksonville,Jaguars,JAC,IR4gIYmh269EI,Cleveland,Browns,CLE,-3.0,3.0,,60105,193,Outdoors,Grass,CLE,Deferred,,,80.0,78.0,12.0,https://www.pro-football-reference.com/boxscores/202409150jax.htm
2024,2024-09-15,D5QY6bOxfn8ZL,Green Bay,Packers,GB,LJmHetie5VbbO,Indianapolis,Colts,IND,2.5,-2.5,,77827,169,Outdoors,Grass,IND,Deferred,,,85.0,58.0,7.0,https://www.pro-football-reference.com/boxscores/202409150gnb.htm
2024,2024-09-15,KdjU81i7YSFE7,Dallas,Cowboys,DAL,CI5mhfNa0Zqd2,New Orleans,Saints,NO,-6.0,6.0,,93691,174,Retractable roof (closed),Matrixturf,DAL,Deferred,,,,,,https://www.pro-football-reference.com/boxscores/202409150dal.htm
2024,2024-09-15,FCuH1wdksA2DQ,Detroit,Lions,DET,QMAZH1v922YLu,Tampa Bay,Buccaneers,TB,-7.5,7.5,,64160,181,Dome,Fieldturf,DET,Deferred,,,,,,https://www.pro-football-reference.com/boxscores/202409150det.htm
2024,2024-09-15,AzOs5UWsXusSW,Minnesota,Vikings,MIN,IwSI92ZDKoazn,San Francisco,49ers,SF,4.5,-4.5,,66741,178,Dome,Sportturf,MIN,Deferred,,,,,,https://www.pro-football-reference.com/boxscores/202409150min.htm
2024,2024-09-15,VkxV91RtzHn65,New England,Patriots,NE,4M8AK5p0WXs1N,Seattle,Seahawks,SEA,3.0,-3.0,,64686,192,Outdoors,Fieldturf,SEA,Deferred,NE,Accepted,77.0,50.0,5.0,https://www.pro-football-reference.com/boxscores/202409150nwe.htm
2024,2024-09-15,9JtBk8kFeaGEs,Washington,Football Team,WAS,n8CuHV9wbYCqF,New York,Giants,NYG,-1.0,1.0,,61841,187,Outdoors,Grass,NYG,Deferred,,,82.0,49.0,11.0,https://www.pro-football-reference.com/boxscores/202409150was.htm
2024,2024-09-15,ltMyRE3yvVUaw,Tennessee,Titans,TEN,mexvMWO2v1hWn,New York,Jets,NYJ,3.5,-3.5,,65509,182,Outdoors,Grass,NYJ,Deferred,,,80.0,51.0,13.0,https://www.pro-football-reference.com/boxscores/202409150oti.htm
2024,2024-09-15,zyhFXj1nywrm1,Baltimore,Ravens,BAL,LZoDld8s63xUs,Las Vegas,Raiders,LV,-9.0,9.0,,70762,202,Outdoors,Grass,BAL,Deferred,,,76.0,64.0,10.0,https://www.pro-football-reference.com/boxscores/202409150rav.htm
2024,2024-09-15,GJizlkzQFaqGA,Arizona,Cardinals,ARI,u98I1lDKQBwZ0,Los Angeles,Rams,LA,0.0,0.0,,63331,159,Retractable roof (closed),Grass,ARI,Deferred,,,,,,https://www.pro-football-reference.com/boxscores/202409150crd.htm
2024,2024-09-15,oiGiwWPf0UqMC,Kansas City,Chiefs,KC,22ZdibiqvfA2D,Cincinnati,Bengals,CIN,-6.0,6.0,,73558,181,Outdoors,Grass,KC,Deferred,,,89.0,44.0,8.0,https://www.pro-football-reference.com/boxscores/202409150kan.htm
2024,2024-09-15,6DclFuycdPaOB,Denver,Broncos,DEN,SlVgURDFI7EXX,Pittsburgh,Steelers,PIT,2.5,-2.5,,74215,177,Outdoors,Grass,PIT,Deferred,,,83.0,17.0,4.0,https://www.pro-football-reference.com/boxscores/202409150den.htm
2024,2024-09-15,UI0Ax4HUEXFh6,Houston,Texans,HOU,1vVmWGzUZ1rea,Chicago,Bears,CHI,-6.0,6.0,,71412,204,Retractable roof (open),Astroturf,CHI,Deferred,,,,,,https://www.pro-football-reference.com/boxscores/202409150htx.htm
2024,2024-09-16,hjjmgzxilGWdr,Philadelphia,Eagles,PHI,mLspw4gJNTQGN,Atlanta,Falcons,ATL,-5.5,5.5,,69879,177,Outdoors,Grass,ATL,Deferred,,,71.0,72.0,9.0,https://www.pro-football-reference.com/boxscores/202409160phi.htm
2024,2024-09-19,mexvMWO2v1hWn,New York,Jets,NYJ,VkxV91RtzHn65,New England,Patriots,NE,-6.0,6.0,,80812,177,Outdoors,Fieldturf,NE,Deferred,,,75.0,63.0,5.0,https://www.pro-football-reference.com/boxscores/202409190nyj.htm
2024,2024-09-22,LJmHetie5VbbO,Indianapolis,Colts,IND,1vVmWGzUZ1rea,Chicago,Bears,CHI,-1.0,1.0,,66624,196,Retractable roof (closed),Fieldturf,IND,Deferred,,,,,,https://www.pro-football-reference.com/boxscores/202409220clt.htm
2024,2024-09-22,IR4gIYmh269EI,Cleveland,Browns,CLE,n8CuHV9wbYCqF,New York,Giants,NYG,-6.5,6.5,,68016,186,Outdoors,Grass,CLE,Deferred,,,76.0,62.0,4.0,https://www.pro-football-reference.com/boxscores/202409220cle.htm
2024,2024-09-22,QMAZH1v922YLu,Tampa Bay,Buccaneers,TB,6DclFuycdPaOB,Denver,Broncos,DEN,-6.0,6.0,,62738,166,Outdoors,Grass,DEN,Accepted,,,85.0,61.0,6.0,https://www.pro-football-reference.com/boxscores/202409220tam.htm
2024,2024-09-22,ltMyRE3yvVUaw,Tennessee,Titans,TEN,D5QY6bOxfn8ZL,Green Bay,Packers,GB,-3.0,3.0,,67322,173,Outdoors,Grass,TEN,Deferred,,,87.0,59.0,7.0,https://www.pro-football-reference.com/boxscores/202409220oti.htm
2024,2024-09-22,AzOs5UWsXusSW,Minnesota,Vikings,MIN,UI0Ax4HUEXFh6,Houston,Texans,HOU,1.0,-1.0,,66843,185,Dome,Sportturf,MIN,Deferred,,,,,,https://www.pro-football-reference.com/boxscores/202409220min.htm
2024,2024-09-22,CI5mhfNa0Zqd2,New Orleans,Saints,NO,hjjmgzxilGWdr,Philadelphia,Eagles,PHI,-2.5,2.5,,70006,183,Dome,Sportturf,PHI,Deferred,,,,,,https://www.pro-football-reference.com/boxscores/202409220nor.htm
2024,2024-09-22,SlVgURDFI7EXX,Pittsburgh,Steelers,PIT,SjaMbkmeizJD4,Los Angeles,Chargers,LAC,-1.0,1.0,,66734,161,Outdoors,Grass,PIT,Deferred,,,72.0,73.0,2.0,https://www.pro-football-reference.com/boxscores/202409220pit.htm
2024,2024-09-22,LZoDld8s63xUs,Las Vegas,Raiders,LV,jJBGuksuDJF5L,Carolina,Panthers,CAR,-5.5,5.5,,62417,193,Dome,Grass,LV,Deferred,,,,,,https://www.pro-football-reference.com/boxscores/202409220rai.htm
2024,2024-09-22,4M8AK5p0WXs1N,Seattle,Seahawks,SEA,mfbu6O5aMHbJg,Miami,Dolphins,MIA,-4.5,4.5,,68658,187,Outdoors,Fieldturf,MIA,Deferred,,,64.0,66.0,2.0,https://www.pro-football-reference.com/boxscores/202409220sea.htm
2024,2024-09-22,GJizlkzQFaqGA,Arizona,Cardinals,ARI,FCuH1wdksA2DQ,Detroit,Lions,DET,2.5,-2.5,,63650,180,Retractable roof (closed),Grass,ARI,Deferred,,,,,,https://www.pro-football-reference.com/boxscores/202409220crd.htm
2024,2024-09-22,KdjU81i7YSFE7,Dallas,Cowboys,DAL,zyhFXj1nywrm1,Baltimore,Ravens,BAL,1.0,-1.0,,93566,194,Retractable roof (closed),Matrixturf,DAL,Accepted,,,,,,https://www.pro-football-reference.com/boxscores/202409220dal.htm
2024,2024-09-22,u98I1lDKQBwZ0,Los Angeles,Rams,LA,IwSI92ZDKoazn,San Francisco,49ers,SF,6.5,-6.5,,,186,Dome,Matrixturf,LA,Deferred,,,,,,https://www.pro-football-reference.com/boxscores/202409220ram.htm
